Date,Open,High,Low,Close
24-April-1998,1045.37,1049.65,1008.37,1032.77,
27-April-1998,1043.15,1055.08,1034.75,1040.55,
29-April-1998,1038.54,1040.94,1010.25,1011.26,
30-April-1998,1010.85,1022.55,999.25,1021.36,
4-May-1998,1033.31,1055.67,1033.31,1055.50,
5-May-1998,1057.86,1061.27,1049.84,1059.55,
6-May-1998,1059.71,1059.71,1034.17,1039.88,
8-May-1998,1034.76,1036.00,1025.57,1027.37,
12-May-1998,1024.20,1024.20,1004.43,1008.82,
13-May-1998,998.11,999.31,964.47,965.89,
14-May-1998,966.84,997.47,956.69,997.17,
15-May-1998,1000.31,1004.15,982.03,986.02,
18-May-1998,995.19,1010.31,995.19,1003.08,
19-May-1998,1003.45,1008.68,1000.78,1008.68,
20-May-1998,1010.32,1020.95,1008.63,1018.68,
21-May-1998,1021.61,1023.53,998.63,1003.46,
22-May-1998,1004.21,1008.21,996.93,1000.65,
25-May-1998,998.42,1011.90,997.53,1006.35,
26-May-1998,1006.22,1008.44,997.93,998.90,
27-May-1998,991.81,992.68,975.62,977.22,
28-May-1998,972.95,982.16,960.65,962.45,
29-May-1998,951.40,968.34,928.56,953.60,
1-June-1998,964.88,988.52,943.63,944.24,
2-June-1998,942.34,945.48,916.97,924.80,
3-June-1998,924.89,927.71,899.68,927.06,
4-June-1998,927.30,932.90,913.34,914.78,
5-June-1998,910.73,910.73,877.49,878.09,
8-June-1998,885.60,893.13,833.03,870.31,
9-June-1998,872.66,886.58,860.97,884.91,
10-June-1998,880.78,880.78,844.54,845.14,
11-June-1998,834.84,849.71,816.56,849.21,
12-June-1998,856.32,869.62,849.20,853.06,
15-June-1998,852.59,852.59,803.08,803.46,
16-June-1998,794.61,804.25,755.74,801.30,
17-June-1998,831.43,860.98,822.43,860.27,
18-June-1998,863.94,868.92,834.06,834.06,
19-June-1998,821.71,822.40,791.53,795.35,
22-June-1998,778.82,781.82,750.11,777.86,
23-June-1998,770.27,771.48,749.94,769.60,
24-June-1998,770.63,797.44,770.63,797.43,
25-June-1998,809.37,824.32,807.67,815.91,
26-June-1998,816.94,816.94,802.83,807.26,
