Date,Open,High,Low,Close
24-September-2008,,,,6101.51,
25-September-2008,,,,6050.03,
26-September-2008,,,,5861.78,
29-September-2008,,,,5553.03,
30-September-2008,,,,5577.47,
1-October-2008,,,,5606.80,
3-October-2008,,,,5465.40,
6-October-2008,,,,5086.93,
7-October-2008,,,,4976.39,
8-October-2008,,,,4699.19,
10-October-2008,,,,4355.45,
13-October-2008,,,,4514.15,
14-October-2008,,,,4615.89,
15-October-2008,,,,4393.45,
16-October-2008,,,,4286.36,
17-October-2008,,,,4167.86,
20-October-2008,,,,4112.82,
21-October-2008,,,,4196.28,
22-October-2008,,,,4111.69,
23-October-2008,,,,3965.70,
24-October-2008,,,,3661.83,
27-October-2008,,,,3478.84,
28-October-2008,,,,3711.61,
29-October-2008,,,,3674.61,
31-October-2008,,,,3765.11,
3-November-2008,,,,3927.10,
4-November-2008,,,,4035.11,
5-November-2008,,,,3964.78,
6-November-2008,,,,3880.27,
7-November-2008,,,,3900.10,
10-November-2008,,,,3988.03,
11-November-2008,,,,3888.01,
12-November-2008,,,,3813.38,
14-November-2008,,,,3765.05,
17-November-2008,,,,3661.39,
18-November-2008,,,,3558.66,
19-November-2008,,,,3493.12,
20-November-2008,,,,3385.34,
21-November-2008,,,,3390.76,
24-November-2008,,,,3363.96,
25-November-2008,,,,3333.42,
26-November-2008,,,,3314.89,
28-November-2008,,,,3304.61,
1-December-2008,,,,3297.73,
2-December-2008,,,,3252.41,
3-December-2008,,,,3265.10,
4-December-2008,,,,3331.80,
5-December-2008,,,,3323.54,
8-December-2008,,,,3343.20,
10-December-2008,,,,3395.45,
11-December-2008,,,,3443.59,
12-December-2008,,,,3530.96,
15-December-2008,,,,3659.09,
16-December-2008,,,,3776.65,
17-December-2008,,,,3678.56,
18-December-2008,,,,3711.95,
19-December-2008,,,,3744.02,
22-December-2008,,,,3734.95,
23-December-2008,,,,3639.18,
24-December-2008,,,,3600.20,
26-December-2008,,,,3548.54,
29-December-2008,,,,3571.51,
30-December-2008,,,,3635.48,
31-December-2008,,,,3683.11,
1-January-2009,,,,3810.41,
2-January-2009,,,,3870.45,
5-January-2009,,,,3917.37,
6-January-2009,,,,3908.55,
7-January-2009,,,,3662.52,
9-January-2009,,,,3555.60,
12-January-2009,,,,3495.25,
13-January-2009,,,,3442.35,
14-January-2009,,,,3485.69,
15-January-2009,,,,3410.48,
16-January-2009,,,,3412.77,
19-January-2009,,,,3451.46,
20-January-2009,,,,3439.09,
21-January-2009,,,,3372.65,
22-January-2009,,,,3304.95,
23-January-2009,,,,3255.54,
27-January-2009,,,,3266.54,
28-January-2009,,,,3304.98,
29-January-2009,,,,3303.41,
30-January-2009,,,,3339.05,
2-February-2009,,,,3287.95,
3-February-2009,,,,3274.03,
4-February-2009,,,,3273.09,
5-February-2009,,,,3245.30,
6-February-2009,,,,3279.24,
9-February-2009,,,,3332.71,
10-February-2009,,,,3342.52,
11-February-2009,,,,3350.97,
12-February-2009,,,,3374.79,
13-February-2009,,,,3395.58,
16-February-2009,,,,3324.14,
17-February-2009,,,,3245.99,
18-February-2009,,,,3226.06,
19-February-2009,,,,3214.10,
20-February-2009,,,,3160.59,
24-February-2009,,,,3116.11,
25-February-2009,,,,3134.69,
26-February-2009,,,,3112.77,
27-February-2009,,,,3106.01,
2-March-2009,,,,3049.28,
3-March-2009,,,,3009.56,
4-March-2009,,,,2990.17,
5-March-2009,,,,2936.01,
6-March-2009,,,,2911.73,
9-March-2009,,,,2866.68,
12-March-2009,,,,2877.27,
13-March-2009,,,,2934.06,
16-March-2009,,,,2998.49,
17-March-2009,,,,3010.31,
18-March-2009,,,,3064.48,
19-March-2009,,,,3097.53,
20-March-2009,,,,3114.38,
23-March-2009,,,,3176.92,
24-March-2009,,,,3155.45,
25-March-2009,,,,3165.46,
26-March-2009,,,,3187.34,
27-March-2009,,,,3238.11,
30-March-2009,,,,3200.05,
31-March-2009,,,,3246.63,
1-April-2009,,,,3339.87,
2-April-2009,,,,3436.92,
6-April-2009,,,,3547.24,
8-April-2009,,,,3705.97,
9-April-2009,,,,3767.55,
13-April-2009,,,,3915.16,
15-April-2009,,,,4123.45,
16-April-2009,,,,3928.99,
17-April-2009,,,,3951.56,
20-April-2009,,,,4011.15,
21-April-2009,,,,4027.98,
22-April-2009,,,,3962.68,
23-April-2009,,,,3999.78,
24-April-2009,,,,4068.26,
27-April-2009,,,,4027.14,
28-April-2009,,,,3888.32,
29-April-2009,,,,3940.90,
4-May-2009,,,,4081.70,
5-May-2009,,,,4162.58,
6-May-2009,,,,4153.01,
7-May-2009,,,,4263.60,
8-May-2009,,,,4277.26,
11-May-2009,,,,4185.32,
12-May-2009,,,,4240.71,
13-May-2009,,,,4220.21,
14-May-2009,,,,4244.15,
15-May-2009,,,,4279.60,
18-May-2009,,,,4666.74,
19-May-2009,,,,4784.14,
20-May-2009,,,,5208.18,
21-May-2009,,,,5342.53,
22-May-2009,,,,5513.16,
25-May-2009,,,,5789.43,
26-May-2009,,,,5608.66,
27-May-2009,,,,5797.74,
28-May-2009,,,,5811.69,
29-May-2009,,,,5986.82,
1-June-2009,,,,6196.78,
2-June-2009,,,,6252.98,
3-June-2009,,,,6384.92,
4-June-2009,,,,6525.19,
5-June-2009,,,,6458.65,
8-June-2009,,,,6083.88,
9-June-2009,,,,6185.61,
10-June-2009,,,,6206.42,
11-June-2009,,,,6150.44,
12-June-2009,,,,6014.66,
15-June-2009,,,,5885.76,
16-June-2009,,,,6011.36,
17-June-2009,,,,5786.54,
18-June-2009,,,,5572.44,
19-June-2009,,,,5617.96,
22-June-2009,,,,5599.57,
23-June-2009,,,,5592.40,
24-June-2009,,,,5719.03,
25-June-2009,,,,5693.02,
26-June-2009,,,,5800.75,
29-June-2009,,,,5887.86,
30-June-2009,,,,5740.04,
1-July-2009,,,,5757.42,
2-July-2009,,,,5800.24,
3-July-2009,,,,5824.95,
6-July-2009,,,,5562.87,
7-July-2009,,,,5544.27,
