Date,Open,High,Low,Close
5-May-2014,,,,1993.49,
6-May-2014,,,,1997.24,
7-May-2014,,,,1989.70,
8-May-2014,,,,1988.78,
9-May-2014,,,,2019.11,
12-May-2014,,,,2035.09,
13-May-2014,,,,2068.06,
14-May-2014,,,,2090.64,
15-May-2014,,,,2072.03,
16-May-2014,,,,2104.23,
19-May-2014,,,,2181.01,
20-May-2014,,,,2216.03,
21-May-2014,,,,2239.81,
22-May-2014,,,,2284.58,
23-May-2014,,,,2320.64,
26-May-2014,,,,2276.59,
27-May-2014,,,,2264.23,
28-May-2014,,,,2277.42,
29-May-2014,,,,2266.35,
30-May-2014,,,,2276.51,
2-June-2014,,,,2319.50,
3-June-2014,,,,2336.66,
4-June-2014,,,,2367.18,
5-June-2014,,,,2395.30,
6-June-2014,,,,2432.00,
9-June-2014,,,,2468.53,
10-June-2014,,,,2468.10,
11-June-2014,,,,2443.24,
12-June-2014,,,,2449.32,
13-June-2014,,,,2388.53,
16-June-2014,,,,2393.41,
17-June-2014,,,,2428.04,
18-June-2014,,,,2412.16,
19-June-2014,,,,2404.60,
20-June-2014,,,,2394.42,
23-June-2014,,,,2405.56,
24-June-2014,,,,2436.95,
25-June-2014,,,,2446.44,
26-June-2014,,,,2439.48,
27-June-2014,,,,2452.21,
30-June-2014,,,,2492.91,
1-July-2014,,,,2510.86,
2-July-2014,,,,2538.69,
3-July-2014,,,,2536.50,
4-July-2014,,,,2547.28,
7-July-2014,,,,2550.94,
8-July-2014,,,,2459.38,
9-July-2014,,,,2422.36,
10-July-2014,,,,2434.00,
11-July-2014,,,,2373.21,
14-July-2014,,,,2373.18,
15-July-2014,,,,2418.44,
16-July-2014,,,,2451.69,
17-July-2014,,,,2481.42,
18-July-2014,,,,2473.46,
21-July-2014,,,,2485.47,
22-July-2014,,,,2488.04,
23-July-2014,,,,2481.34,
24-July-2014,,,,2480.97,
25-July-2014,,,,2449.30,
28-July-2014,,,,2440.39,
30-July-2014,,,,2449.16,
31-July-2014,,,,2452.16,
1-August-2014,,,,2428.66,
4-August-2014,,,,2453.19,
5-August-2014,,,,2472.95,
6-August-2014,,,,2461.13,
7-August-2014,,,,2450.51,
8-August-2014,,,,2405.61,
11-August-2014,,,,2419.91,
12-August-2014,,,,2434.07,
13-August-2014,,,,2399.22,
14-August-2014,,,,2426.94,
18-August-2014,,,,2468.93,
19-August-2014,,,,2497.63,
20-August-2014,,,,2507.18,
21-August-2014,,,,2518.66,
22-August-2014,,,,2526.50,
25-August-2014,,,,2508.19,
26-August-2014,,,,2508.64,
27-August-2014,,,,2523.89,
28-August-2014,,,,2518.37,
1-September-2014,,,,2560.28,
2-September-2014,,,,2581.20,
3-September-2014,,,,2602.25,
4-September-2014,,,,2599.48,
5-September-2014,,,,2608.32,
8-September-2014,,,,2643.61,
9-September-2014,,,,2658.06,
10-September-2014,,,,2659.49,
11-September-2014,,,,2685.19,
12-September-2014,,,,2696.32,
15-September-2014,,,,2703.40,
16-September-2014,,,,2615.59,
17-September-2014,,,,2627.77,
18-September-2014,,,,2679.37,
19-September-2014,,,,2679.35,
22-September-2014,,,,2683.68,
23-September-2014,,,,2630.79,
24-September-2014,,,,2601.41,
25-September-2014,,,,2540.22,
26-September-2014,,,,2566.49,
29-September-2014,,,,2593.35,
30-September-2014,,,,2597.38,
1-October-2014,,,,2589.11,
7-October-2014,,,,2564.87,
8-October-2014,,,,2560.83,
9-October-2014,,,,2604.55,
10-October-2014,,,,2567.26,
13-October-2014,,,,2577.79,
14-October-2014,,,,2577.07,
16-October-2014,,,,2513.12,
17-October-2014,,,,2528.05,
20-October-2014,,,,2554.18,
21-October-2014,,,,2574.07,
22-October-2014,,,,2601.54,
23-October-2014,,,,2625.33,
27-October-2014,,,,2614.63,
28-October-2014,,,,2623.32,
29-October-2014,,,,2637.62,
30-October-2014,,,,2659.13,
31-October-2014,,,,2693.41,
3-November-2014,,,,2715.80,
5-November-2014,,,,2721.47,
7-November-2014,,,,2735.07,
10-November-2014,,,,2739.31,
11-November-2014,,,,2762.56,
12-November-2014,,,,2778.80,
13-November-2014,,,,2769.26,
14-November-2014,,,,2784.73,
17-November-2014,,,,2803.83,
18-November-2014,,,,2818.78,
19-November-2014,,,,2804.18,
20-November-2014,,,,2795.83,
21-November-2014,,,,2796.50,
24-November-2014,,,,2801.77,
25-November-2014,,,,2758.80,
26-November-2014,,,,2770.85,
27-November-2014,,,,2782.59,
28-November-2014,,,,2812.12,
1-December-2014,,,,2812.30,
2-December-2014,,,,2836.37,
3-December-2014,,,,2879.79,
4-December-2014,,,,2890.29,
5-December-2014,,,,2881.46,
8-December-2014,,,,2853.61,
9-December-2014,,,,2807.63,
10-December-2014,,,,2834.73,
11-December-2014,,,,2812.61,
12-December-2014,,,,2775.77,
15-December-2014,,,,2763.59,
16-December-2014,,,,2681.96,
17-December-2014,,,,2662.97,
18-December-2014,,,,2741.13,
19-December-2014,,,,2750.79,
22-December-2014,,,,2775.44,
23-December-2014,,,,2763.46,
24-December-2014,,,,2765.18,
26-December-2014,,,,2773.42,
29-December-2014,,,,2798.03,
30-December-2014,,,,2812.63,
31-December-2014,,,,2839.11,
1-January-2015,,,,2855.13,
2-January-2015,,,,2878.46,
5-January-2015,,,,2881.29,
6-January-2015,,,,2798.04,
7-January-2015,,,,2801.03,
8-January-2015,,,,2844.87,
9-January-2015,,,,2845.21,
12-January-2015,,,,2862.19,
13-January-2015,,,,2865.33,
14-January-2015,,,,2857.06,
15-January-2015,,,,2895.66,
16-January-2015,,,,2911.79,
19-January-2015,,,,2924.51,
20-January-2015,,,,2935.45,
21-January-2015,,,,2930.48,
22-January-2015,,,,2940.68,
23-January-2015,,,,2940.45,
27-January-2015,,,,2959.23,
28-January-2015,,,,2968.21,
29-January-2015,,,,2960.77,
30-January-2015,,,,2947.48,
2-February-2015,,,,2963.04,
3-February-2015,,,,2947.71,
4-February-2015,,,,2934.71,
5-February-2015,,,,2903.34,
6-February-2015,,,,2871.31,
9-February-2015,,,,2832.11,
10-February-2015,,,,2847.23,
11-February-2015,,,,2893.42,
12-February-2015,,,,2929.90,
13-February-2015,,,,2955.24,
16-February-2015,,,,2942.19,
18-February-2015,,,,2967.26,
19-February-2015,,,,2965.45,
20-February-2015,,,,2972.16,
23-February-2015,,,,2946.90,
24-February-2015,,,,2938.67,
25-February-2015,,,,2931.22,
26-February-2015,,,,2902.21,
27-February-2015,,,,2954.11,
28-February-2015,,,,2963.65,
2-March-2015,,,,3004.33,
3-March-2015,,,,3035.46,
4-March-2015,,,,3003.41,
5-March-2015,,,,3028.24,
9-March-2015,,,,2987.55,
10-March-2015,,,,2982.54,
11-March-2015,,,,2967.24,
12-March-2015,,,,3004.07,
13-March-2015,,,,2961.24,
16-March-2015,,,,2951.72,
17-March-2015,,,,2979.81,
18-March-2015,,,,2987.36,
19-March-2015,,,,2970.53,
20-March-2015,,,,2925.35,
23-March-2015,,,,2902.25,
24-March-2015,,,,2892.34,
25-March-2015,,,,2879.57,
26-March-2015,,,,2850.33,
27-March-2015,,,,2854.33,
30-March-2015,,,,2905.39,
31-March-2015,,,,2916.98,
1-April-2015,,,,2967.73,
6-April-2015,,,,2998.76,
7-April-2015,,,,3020.28,
8-April-2015,,,,3039.38,
9-April-2015,,,,3056.25,
10-April-2015,,,,3068.18,
13-April-2015,,,,3079.78,
15-April-2015,,,,3063.49,
16-April-2015,,,,3038.60,
17-April-2015,,,,2986.46,
20-April-2015,,,,2923.69,
21-April-2015,,,,2912.52,
22-April-2015,,,,2917.13,
23-April-2015,,,,2922.64,
24-April-2015,,,,2859.43,
27-April-2015,,,,2788.21,
28-April-2015,,,,2827.95,
29-April-2015,,,,2849.40,
30-April-2015,,,,2848.16,
4-May-2015,,,,2896.13,
5-May-2015,,,,2905.68,
6-May-2015,,,,2812.86,
7-May-2015,,,,2762.04,
8-May-2015,,,,2808.94,
11-May-2015,,,,2856.31,
12-May-2015,,,,2807.13,
13-May-2015,,,,2840.87,
