"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"12-Dec-2013","     4834.80","     4840.35","     4806.35","     4810.55","      460467755","         8745.41"
"13-Dec-2013","     4785.60","     4791.30","     4752.30","     4756.05","      458384577","         9935.96"
"16-Dec-2013","     4759.05","     4773.55","     4746.25","     4756.00","      437090583","         9428.34"
"17-Dec-2013","     4774.80","     4786.25","     4745.20","     4748.50","      473504130","        10121.29"
"18-Dec-2013","     4743.45","     4817.55","     4743.45","     4809.65","      607175074","        12873.42"
"19-Dec-2013","     4834.70","     4841.75","     4769.80","     4780.60","      760359446","        13608.86"
"20-Dec-2013","     4788.60","     4868.10","     4787.10","     4861.65","      615900300","        11748.38"
"23-Dec-2013","     4857.75","     4901.10","     4857.75","     4878.85","      587790997","         9837.59"
"24-Dec-2013","     4888.15","     4896.60","     4868.80","     4876.10","      538207900","         8917.48"
"26-Dec-2013","     4880.60","     4905.65","     4876.90","     4887.85","      764371429","        11784.36"
"27-Dec-2013","     4900.45","     4922.75","     4900.45","     4914.70","      489196951","         8027.52"
"30-Dec-2013","     4931.30","     4937.25","     4887.65","     4899.95","      436835626","         7894.36"
"31-Dec-2013","     4914.20","     4921.00","     4898.45","     4914.85","      478113332","         7150.31"
"01-Jan-2014","     4928.80","     4932.00","     4915.95","     4921.25","      475576268","         5502.10"
"02-Jan-2014","     4922.50","     4961.45","     4842.55","     4848.95","      785294354","        11279.91"
"03-Jan-2014","     4830.15","     4857.00","     4814.85","     4850.65","      551021592","         9832.82"
"06-Jan-2014","     4858.85","     4858.85","     4829.65","     4845.05","      518164116","         9490.08"
"07-Jan-2014","     4854.65","     4868.25","     4811.45","     4820.25","      639875395","        10716.27"
"08-Jan-2014","     4832.90","     4849.00","     4822.30","     4833.55","      625371696","        11173.42"
"09-Jan-2014","     4839.40","     4844.90","     4806.25","     4820.15","      575010999","        10672.93"
"10-Jan-2014","     4828.40","     4868.45","     4798.05","     4813.95","      583498105","        12312.66"
"13-Jan-2014","     4825.10","     4877.80","     4825.10","     4869.95","      473319730","         9980.97"
"14-Jan-2014","     4861.30","     4875.95","     4844.95","     4850.75","      421986727","         8255.88"
"15-Jan-2014","     4867.15","     4902.20","     4867.15","     4899.70","      507912162","        10683.03"
"16-Jan-2014","     4913.20","     4917.20","     4882.35","     4891.40","      473078584","        10761.88"
"17-Jan-2014","     4883.45","     4896.55","     4832.95","     4841.30","      490382017","        11779.72"
"20-Jan-2014","     4840.30","     4880.00","     4833.00","     4878.25","      438477216","         9234.41"
"21-Jan-2014","     4889.90","     4900.45","     4876.70","     4886.70","      455554646","         9745.19"
"22-Jan-2014","     4884.05","     4911.15","     4872.65","     4903.95","      442713988","         9748.42"
"23-Jan-2014","     4894.25","     4909.95","     4892.55","     4903.50","      427727014","         9697.58"
"24-Jan-2014","     4875.25","     4893.20","     4835.15","     4836.70","      448549342","         9989.51"
"27-Jan-2014","     4780.95","     4780.95","     4722.45","     4725.60","      554711198","        11140.31"
"28-Jan-2014","     4723.25","     4748.30","     4694.00","     4720.60","      557172172","        11941.34"
"29-Jan-2014","     4746.05","     4756.45","     4714.10","     4720.60","      467843905","        10324.69"
"30-Jan-2014","     4680.90","     4680.90","     4645.25","     4675.10","      683730592","        13386.93"
"31-Jan-2014","     4685.30","     4714.65","     4680.35","     4709.15","      531659255","        10263.48"
"03-Feb-2014","     4690.15","     4702.00","     4643.65","     4648.55","      448706307","         9095.19"
"04-Feb-2014","     4609.80","     4662.25","     4596.05","     4652.50","      535569356","        10686.70"
"05-Feb-2014","     4656.35","     4676.25","     4632.90","     4671.85","      480236553","        10210.82"
"06-Feb-2014","     4680.55","     4695.75","     4638.05","     4681.35","      496107496","        10711.84"
"07-Feb-2014","     4711.15","     4713.05","     4679.85","     4701.70","      490834323","         9908.16"
"10-Feb-2014","     4709.45","     4714.00","     4688.45","     4692.55","      428598632","         8324.73"
"11-Feb-2014","     4705.00","     4713.75","     4693.95","     4699.60","      397523690","         8951.50"
"12-Feb-2014","     4717.15","     4730.25","     4706.70","     4711.95","      411284603","         9373.33"
"13-Feb-2014","     4715.45","     4718.55","     4643.55","     4650.00","      430785303","         8585.00"
"14-Feb-2014","     4664.40","     4682.40","     4632.85","     4677.80","      427535836","         9333.54"
"17-Feb-2014","     4685.15","     4695.45","     4672.15","     4690.45","      355124526","         7694.98"
"18-Feb-2014","     4689.65","     4740.80","     4688.70","     4731.50","      395423560","         8438.80"
"19-Feb-2014","     4735.30","     4756.65","     4733.95","     4752.90","      354197867","         7426.43"
"20-Feb-2014","     4733.10","     4739.70","     4713.95","     4716.35","      448856826","         8272.43"
"21-Feb-2014","     4728.15","     4764.90","     4728.15","     4762.75","      412793229","         7706.41"
"24-Feb-2014","     4755.30","     4786.25","     4752.70","     4783.15","      407957990","         7750.25"
"25-Feb-2014","     4797.60","     4808.75","     4780.10","     4793.90","      437175218","         8628.93"
"26-Feb-2014","     4796.90","     4819.40","     4796.90","     4816.40","      563905542","        11547.04"
"28-Feb-2014","     4814.45","     4852.05","     4814.45","     4849.50","      568401781","        14145.44"
"03-Mar-2014","     4842.30","     4857.85","     4809.55","     4816.30","      496592115","         9707.10"
"04-Mar-2014","     4815.20","     4875.20","     4815.20","     4873.20","      531570531","        10608.15"
"05-Mar-2014","     4896.20","     4906.20","     4871.25","     4900.85","      558982948","        11034.20"
"06-Mar-2014","     4913.75","     4961.95","     4913.75","     4959.10","      656377306","        12015.98"
"07-Mar-2014","     4971.05","     5040.95","     4971.05","     5033.85","      914472382","        18424.51"
"10-Mar-2014","     5010.35","     5060.70","     5010.35","     5046.45","      737157568","        15997.28"
"11-Mar-2014","     5048.65","     5069.10","     5016.40","     5026.95","      741470716","        14503.49"
"12-Mar-2014","     5017.05","     5050.15","     5011.60","     5028.70","      562040795","        10831.60"
"13-Mar-2014","     5016.60","     5063.65","     4995.85","     5007.20","      598453298","        13354.45"
"14-Mar-2014","     4977.45","     5019.65","     4962.95","     5011.55","      545213922","        11477.08"
"18-Mar-2014","     5031.60","     5063.80","     5020.80","     5035.40","      563025667","        12098.26"
"19-Mar-2014","     5047.70","     5055.40","     5030.95","     5044.20","      545243292","        12779.69"
"20-Mar-2014","     5032.85","     5045.00","     5008.50","     5014.80","      508813911","        10825.11"
"21-Mar-2014","     5037.55","     5041.70","     5024.45","     5031.05","      587523142","        13864.45"
"22-Mar-2014","     5036.80","     5040.90","     5030.00","     5037.50","       76401652","         1161.02"
"24-Mar-2014","     5049.90","     5095.10","     5049.90","     5091.20","      519220539","        10963.15"
"25-Mar-2014","     5071.05","     5105.35","     5071.05","     5102.75","      562887602","        11737.00"
"26-Mar-2014","     5121.90","     5132.20","     5097.05","     5114.70","      685260863","        12757.78"
"27-Mar-2014","     5121.65","     5165.80","     5117.40","     5146.20","      887309769","        19720.06"
"28-Mar-2014","     5170.50","     5206.65","     5161.10","     5202.15","      703647503","        12986.28"
"31-Mar-2014","     5224.45","     5234.30","     5188.05","     5224.85","      823691758","        14243.59"
"01-Apr-2014","     5244.15","     5244.15","     5199.40","     5232.85","      691765960","        12730.20"
"02-Apr-2014","     5261.70","     5276.10","     5246.25","     5272.40","      790584413","        15175.10"
"03-Apr-2014","     5281.60","     5281.60","     5227.60","     5254.35","      853998766","        15105.59"
"04-Apr-2014","     5257.30","     5257.30","     5229.70","     5234.50","      826038769","        13443.81"
"07-Apr-2014","     5236.30","     5256.60","     5198.50","     5234.20","      797272198","        12797.42"
"09-Apr-2014","     5254.70","     5321.30","     5252.60","     5315.25","      856241502","        15806.94"
"10-Apr-2014","     5322.25","     5345.80","     5308.80","     5328.40","     1042169439","        18641.78"
"11-Apr-2014","     5302.40","     5326.85","     5294.15","     5317.70","      847359106","        14984.19"
"15-Apr-2014","     5330.25","     5334.90","     5267.10","     5278.15","      678141240","        13428.12"
